==================================
           facebook.com
==================================
Source -> Destination
Loris.local -> upload-lb.esams.wikimedia.org
Loris.local -> upload-lb.esams.wikimedia.org
Loris.local -> upload-lb.esams.wikimedia.org
bits-lb.esams.wikimedia.org -> Loris.local
bits-lb.esams.wikimedia.org -> Loris.local
bits-lb.esams.wikimedia.org -> Loris.local
upload-lb.esams.wikimedia.org -> Loris.local
upload-lb.esams.wikimedia.org -> Loris.local
Loris.local -> upload-lb.esams.wikimedia.org
upload-lb.esams.wikimedia.org -> Loris.local
Loris.local -> upload-lb.esams.wikimedia.org
Loris.local -> upload-lb.esams.wikimedia.org
upload-lb.esams.wikimedia.org -> Loris.local
upload-lb.esams.wikimedia.org -> Loris.local
Loris.local -> upload-lb.esams.wikimedia.org
Loris.local -> upload-lb.esams.wikimedia.org
upload-lb.esams.wikimedia.org -> Loris.local
upload-lb.esams.wikimedia.org -> Loris.local
Loris.local -> upload-lb.esams.wikimedia.org
upload-lb.esams.wikimedia.org -> Loris.local
upload-lb.esams.wikimedia.org -> Loris.local
upload-lb.esams.wikimedia.org -> Loris.local
upload-lb.esams.wikimedia.org -> Loris.local
upload-lb.esams.wikimedia.org -> Loris.local
==================================
           live.com
==================================
Loris.local -> live.com
live.com -> Loris.local
Loris.local -> home.skyprod.akadns.net
home.skyprod.akadns.net -> Loris.local
==================================
           twitter.com
==================================
Loris.local -> twitter.com
twitter.com -> Loris.local
Loris.local -> a1725.dspl.akamai.net
Loris.local -> a1725.dspl.akamai.net
Loris.local -> a1725.dspl.akamai.net
a1725.dspl.akamai.net -> Loris.local
a1725.dspl.akamai.net -> Loris.local
a1725.dspl.akamai.net -> Loris.local
Loris.local -> twitter.com
Loris.local -> a1725.dspl.akamai.net
Loris.local -> a1725.dspl.akamai.net
Loris.local -> a1725.dspl.akamai.net
Loris.local -> a1725.dspl.akamai.net
Loris.local -> a1725.dspl.akamai.net
a1725.dspl.akamai.net -> Loris.local
a1725.dspl.akamai.net -> Loris.local
a1725.dspl.akamai.net -> Loris.local
a1725.dspl.akamai.net -> Loris.local
Loris.local -> a1725.dspl.akamai.net
a1725.dspl.akamai.net -> Loris.local
a1725.dspl.akamai.net -> Loris.local
Loris.local -> a1725.dspl.akamai.net
a1725.dspl.akamai.net -> Loris.local
Loris.local -> google.com
google.com -> Loris.local
Loris.local -> google.com
google.com -> Loris.local
twitter.com -> Loris.local
==================================
           qq.com
==================================
Loris.local -> qq.com
qq.com -> Loris.local
Loris.local -> a1574.b.akamai.net
a1574.b.akamai.net -> Loris.local
Loris.local -> a1574.b.akamai.net
Loris.local -> a1574.b.akamai.net
Loris.local -> a1574.b.akamai.net
Loris.local -> a1574.b.akamai.net
Loris.local -> a1574.b.akamai.net
Loris.local -> a1574.b.akamai.net
a1574.b.akamai.net -> Loris.local
Loris.local -> a1574.b.akamai.net
a1574.b.akamai.net -> Loris.local
Loris.local -> a1574.b.akamai.net
a1574.b.akamai.net -> Loris.local
a1574.b.akamai.net -> Loris.local
Loris.local -> a1574.b.akamai.net
Loris.local -> a1574.b.akamai.net
a1574.b.akamai.net -> Loris.local
Loris.local -> a1574.b.akamai.net
a1574.b.akamai.net -> Loris.local
Loris.local -> a1574.b.akamai.net
a1574.b.akamai.net -> Loris.local
a1574.b.akamai.net -> Loris.local
Loris.local -> a1574.b.akamai.net
Loris.local -> a1574.b.akamai.net
a1574.b.akamai.net -> Loris.local
a1574.b.akamai.net -> Loris.local
Loris.local -> a1574.b.akamai.net
a1574.b.akamai.net -> Loris.local
a1574.b.akamai.net -> Loris.local
a1574.b.akamai.net -> Loris.local
Loris.local -> a1574.b.akamai.net
Loris.local -> a1574.b.akamai.net
Loris.local -> a1574.b.akamai.net
a1574.b.akamai.net -> Loris.local
a1574.b.akamai.net -> Loris.local
a1574.b.akamai.net -> Loris.local
a1574.b.akamai.net -> Loris.local
Loris.local -> img1.gtimg.com
Loris.local -> img1.gtimg.com
Loris.local -> img1.gtimg.com
Loris.local -> img1.gtimg.com
Loris.local -> img1.gtimg.com
Loris.local -> img1.gtimg.com
Loris.local -> img.gtimg.cn
Loris.local -> img1.gtimg.com
Loris.local -> img1.gtimg.com
img.gtimg.cn -> Loris.local
a1574.b.akamai.net -> Loris.local
img1.gtimg.com -> Loris.local
